## The copyright to the intellectual property of this file is ## held by www.climatedata.info
1900,645.23
1901,575.93
1902,640.00
1903,618.60
1904,564.31
1905,709.77
1906,677.43
1907,620.17
1908,631.28
1909,653.04
1910,502.62
1911,643.94
1912,637.75
1913,616.99
1914,601.10
1915,686.41
1916,624.71
1917,511.02
1918,593.57
1919,651.29
1920,626.21
1921,607.80
1922,613.22
1923,657.31
1924,547.01
1925,553.80
1926,644.86
1927,672.77
1928,613.27
1929,616.80
1930,552.67
1931,580.11
1932,649.62
1933,571.76
1934,529.74
1935,627.00
1936,540.05
1937,618.51
1938,625.52
1939,566.34
1940,619.25
1941,705.60
1942,664.22
1943,573.00
1944,668.62
1945,681.79
1946,656.48
1947,626.09
1948,629.56
1949,658.81
1950,647.14
1951,666.79
1952,559.05
1953,596.09
1954,563.70
1955,593.60
1956,533.18
1957,703.44
1958,607.70
1959,653.20
1960,584.57
1961,643.02
1962,599.38
1963,536.99
1964,646.01
1965,670.47
1966,589.50
1967,608.23
1968,647.35
1969,640.65
1970,624.71
1971,634.19
1972,644.55
1973,718.92
1974,652.80
1975,683.69
1976,549.25
1977,657.48
1978,649.52
1979,674.53
1980,602.88
1981,609.92
1982,717.76
1983,707.76
1984,668.81
1985,668.60
1986,671.82
1987,610.59
1988,572.32
1989,610.88
1990,673.00
1991,705.46
1992,672.93
1993,706.40
1994,642.83
1995,590.30
1996,542.47
1997,560.11
1998,632.66
