## The copyright to the intellectual property of this file is ## held by www.climatedata.info
1900,692.12
1901,644.32
1902,652.51
1903,733.93
1904,607.73
1905,682.02
1906,713.94
1907,638.46
1908,630.48
1909,686.82
1910,767.62
1911,623.81
1912,795.11
1913,693.55
1914,712.41
1915,757.94
1916,780.82
1917,666.76
1918,669.18
1919,717.38
1920,621.00
1921,539.24
1922,751.88
1923,729.51
1924,674.31
1925,754.15
1926,719.41
1927,764.86
1928,713.37
1929,625.04
1930,772.63
1931,718.10
1932,690.42
1933,670.27
1934,655.53
1935,739.46
1936,702.94
1937,744.41
1938,652.41
1939,720.84
1940,718.86
1941,717.15
1942,610.93
1943,618.49
1944,694.41
1945,664.40
1946,659.00
1947,634.90
1948,683.67
1949,633.84
1950,726.00
1951,683.17
1952,766.60
1953,587.82
1954,725.57
1955,672.04
1956,681.17
1957,689.45
1958,758.04
1959,604.02
1960,806.31
1961,672.21
1962,692.02
1963,640.12
1964,620.21
1965,753.10
1966,811.63
1967,718.73
1968,699.70
1969,655.44
1970,766.39
1971,610.34
1972,640.60
1973,646.32
1974,745.37
1975,611.04
1976,619.90
1977,750.27
1978,706.80
1979,735.57
1980,773.54
1981,796.23
1982,671.30
1983,672.97
1984,697.04
1985,705.95
1986,693.01
1987,716.32
1988,758.60
1989,652.62
1990,717.37
1991,647.28
1992,702.28
1993,707.62
1994,726.79
1995,741.34
1996,644.56
1997,713.42
1998,780.49
