## The copyright to the intellectual property of this file is ## held by www.climatedata.info
1900,955.53
1901,986.00
1902,968.73
1903,1029.13
1904,972.56
1905,997.87
1906,1041.59
1907,1047.84
1908,1026.68
1909,1084.68
1910,1061.32
1911,996.09
1912,1006.81
1913,1026.12
1914,1027.42
1915,1025.61
1916,1137.60
1917,1117.43
1918,1035.82
1919,1008.43
1920,1060.46
1921,1095.10
1922,1111.27
1923,1105.20
1924,1129.78
1925,1088.81
1926,1106.26
1927,1118.89
1928,1133.76
1929,1094.45
1930,1064.31
1931,1105.66
1932,1106.08
1933,1141.57
1934,1160.58
1935,1137.43
1936,1138.78
1937,1152.45
1938,1153.38
1939,1137.71
1940,1109.05
1941,1095.90
1942,1084.68
1943,1138.70
1944,1080.94
1945,1116.38
1946,1092.26
1947,1130.50
1948,1146.44
1949,1154.79
1950,1179.11
1951,1129.27
1952,1157.50
1953,1183.80
1954,1247.12
1955,1215.71
1956,1216.83
1957,1167.02
1958,1179.31
1959,1190.67
1960,1199.53
1961,1213.12
1962,1184.16
1963,1170.60
1964,1189.92
1965,1138.65
1966,1176.00
1967,1187.75
1968,1149.20
1969,1171.70
1970,1215.54
1971,1190.15
1972,1159.34
1973,1260.03
1974,1248.69
1975,1259.27
1976,1169.07
1977,1157.46
1978,1180.57
1979,1180.13
1980,1163.48
1981,1165.92
1982,1135.99
1983,1161.92
1984,1177.06
1985,1144.06
1986,1126.48
1987,1102.74
1988,1166.63
1989,1160.97
1990,1104.37
1991,1081.55
1992,998.74
1993,1009.82
1994,1049.77
1995,1004.78
1996,973.06
1997,972.87
1998,992.65
